event_title,speaker,category,description ,venue
Digital Transformation Week 2024,Sheryl Sandberg,Literature/Global,"A global event focused on Film trends, challenges, and innovations.","Altice Arena, Lisbon, Portugal"
SXSW Music Festival 2024,Elon Musk,Music/Entertainment,"A global event focused on Film trends, challenges, and innovations.","Sydney Opera House, Australia"
TechEd Europe 2024,Jehan Ara,Technology/Innovation,"A global event focused on Art trends, challenges, and innovations.","Fira Gran Via, Barcelona, Spain"
European Space Agency Conference 2024,Elon Musk,Literature/Global,"A global event focused on Art trends, challenges, and innovations.","Altice Arena, Lisbon, Portugal"
Web Summit 2024,Marc Benioff,Music/Entertainment,"A global event focused on Space trends, challenges, and innovations.","Austin Convention Center, USA"
Adobe MAX 2024,Andy Jassy,Fashion/Global,"A global event focused on Technology trends, challenges, and innovations.","Dubai World Trade Centre, UAE"
The Next Web 2024,Susan Wojcicki,Cybersecurity/Hacking,"A global event focused on Sports trends, challenges, and innovations.","Altice Arena, Lisbon, Portugal"
Formula 1 Grand Prix 2024,Marissa Mayer,Economic/Global,"A global event focused on AI trends, challenges, and innovations.","Sydney Opera House, Australia"
Machine Learning Summit 2024,Susan Wojcicki,Music/Entertainment,"A global event focused on Health trends, challenges, and innovations.","Expo Center, Lahore, Pakistan"
Black Hat 2024,Nat Friedman,AI/Technology,"A global event focused on Art trends, challenges, and innovations.","Expo Center, Lahore, Pakistan"
SXSW 2024,Meg Whitman,Economic/Global,"A global event focused on Health trends, challenges, and innovations.","Serena Hotel, Islamabad, Pakistan"
AI Expo Global 2024,Greta Thunberg,Technology/Innovation,"A global event focused on AI trends, challenges, and innovations.","UN Headquarters, New York, USA"
Open Source Summit 2024,Greta Thunberg,Film/Entertainment,"A global event focused on Gaming trends, challenges, and innovations.","Expo Center, Lahore, Pakistan"
The Next Web 2024,Elon Musk,Health/Medical,"A global event focused on Robotics trends, challenges, and innovations.","Fira Gran Via, Barcelona, Spain"
Digital Transformation Week 2024,Dr. Tedros Adhanom,Fashion/Global,"A global event focused on Music trends, challenges, and innovations.","Circuit de Monaco, Monte Carlo"
London Book Fair 2024,Bill Gates,Health/Medical,"A global event focused on Technology trends, challenges, and innovations.","Olympia, London, UK"
London Book Fair 2024,Marissa Mayer,Space/Technology,"A global event focused on Art trends, challenges, and innovations.","ESA HQ, Paris, France"
AWS re:Invent 2024,Sheryl Sandberg,Space/Technology,"A global event focused on Startup trends, challenges, and innovations.","Marina Bay Sands, Singapore"
TechCrunch Disrupt 2024,Bill Gates,Fashion/Global,"A global event focused on Startup trends, challenges, and innovations.","The Venetian, Las Vegas, USA"
GitHub Universe 2024,Sheryl Sandberg,Health/Medical,"A global event focused on Film trends, challenges, and innovations.","Expo Center, Karachi, Pakistan"
RSA Conference 2024,Marc Benioff,Technology/Innovation,"A global event focused on Robotics trends, challenges, and innovations.","Dubai World Trade Centre, UAE"
